,Date,Month,Year,> Australian Capital Territory ;  Unemployment rate ;  Persons ;,> Australian Capital Territory ;  Unemployment rate ;  > Males ;,> Australian Capital Territory ;  Unemployment rate ;  > Females ;
294,Jan-16,Jan,2016,5.2,6.1,4.3
295,Feb-16,Feb,2016,5.4,6.1,4.7
296,Mar-16,Mar,2016,4.0,4.3,3.7
297,Apr-16,Apr,2016,4.0,4.1,3.8
298,May-16,May,2016,3.8,3.9,3.6
299,Jun-16,Jun,2016,3.1,3.2,2.9
300,Jul-16,Jul,2016,3.5,3.7,3.3
301,Aug-16,Aug,2016,3.6,3.7,3.6
302,Sep-16,Sep,2016,3.4,3.8,3.0
303,Oct-16,Oct,2016,3.6,3.5,3.7
304,Nov-16,Nov,2016,4.0,4.5,3.3
305,Dec-16,Dec,2016,3.4,3.9,2.9
306,Jan-17,Jan,2017,4.0,4.0,3.9
307,Feb-17,Feb,2017,4.7,4.8,4.6
308,Mar-17,Mar,2017,4.0,3.2,4.8
309,Apr-17,Apr,2017,3.5,3.4,3.7
310,May-17,May,2017,3.5,3.7,3.4
311,Jun-17,Jun,2017,4.7,5.0,4.5
312,Jul-17,Jul,2017,4.5,4.2,4.9
313,Aug-17,Aug,2017,4.1,4.7,3.5
314,Sep-17,Sep,2017,3.9,4.7,3.2
315,Oct-17,Oct,2017,3.3,3.6,3.1
316,Nov-17,Nov,2017,3.8,4.4,3.2
317,Dec-17,Dec,2017,3.9,4.7,3.1
318,Jan-18,Jan,2018,4.7,5.0,4.4
319,Feb-18,Feb,2018,4.6,4.6,4.5
320,Mar-18,Mar,2018,4.2,5.0,3.5
321,Apr-18,Apr,2018,3.5,2.9,4.2
322,May-18,May,2018,3.2,3.3,3.1
323,Jun-18,Jun,2018,3.2,2.6,3.9
324,Jul-18,Jul,2018,3.5,3.4,3.6
325,Aug-18,Aug,2018,3.9,3.5,4.2
326,Sep-18,Sep,2018,3.5,3.1,3.9
327,Oct-18,Oct,2018,3.5,3.3,3.8
328,Nov-18,Nov,2018,2.5,2.7,2.3
329,Dec-18,Dec,2018,3.8,4.1,3.4
330,Jan-19,Jan,2019,3.7,3.5,3.9
331,Feb-19,Feb,2019,3.6,3.9,3.3
332,Mar-19,Mar,2019,4.1,5.2,3.0
333,Apr-19,Apr,2019,4.7,5.0,4.5
334,May-19,May,2019,4.0,3.4,4.6
335,Jun-19,Jun,2019,2.3,2.4,2.2
336,Jul-19,Jul,2019,3.4,3.5,3.4
337,Aug-19,Aug,2019,3.8,3.4,4.2
338,Sep-19,Sep,2019,3.2,3.3,3.2
